run	workload	prover	log_rows	rows	phase	ms	table	table_rows	span
1	fib_pair	lambda	19	524288	prove_total	546.064			
1	fib_pair	lambda	19	524288	prepass	16.144			
1	fib_pair	lambda	19	524288	main_commits	147.560			
1	fib_pair	lambda	19	524288	aux_build	0.001			
1	fib_pair	lambda	19	524288	aux_commit	0.005			
1	fib_pair	lambda	19	524288	rounds_2_4	381.736			
1	fib_pair	lambda	19	524288	r1_main_lde	80.097			
1	fib_pair	lambda	19	524288	r1_main_merkle	50.619			
1	fib_pair	lambda	19	524288	r1_aux_lde	0.000			
1	fib_pair	lambda	19	524288	r1_aux_merkle	0.000			
1	fib_pair	lambda	19	524288	table_total	378.149	fib_pair	524288	
1	fib_pair	lambda	19	524288	r2_constraints	168.984	fib_pair	524288	
1	fib_pair	lambda	19	524288	r2_comp_decompose	0.000	fib_pair	524288	
1	fib_pair	lambda	19	524288	r2_comp_commit	20.085	fib_pair	524288	
1	fib_pair	lambda	19	524288	r3_ood	39.032	fib_pair	524288	
1	fib_pair	lambda	19	524288	r4_deep_comp	41.456	fib_pair	524288	
1	fib_pair	lambda	19	524288	r4_deep_extend	10.743	fib_pair	524288	
1	fib_pair	lambda	19	524288	r4_fri_commit	94.935	fib_pair	524288	
1	fib_pair	lambda	19	524288	r4_queries	1.591	fib_pair	524288	
2	fib_pair	lambda	19	524288	prove_total	569.945			
2	fib_pair	lambda	19	524288	prepass	16.307			
2	fib_pair	lambda	19	524288	main_commits	154.371			
2	fib_pair	lambda	19	524288	aux_build	0.001			
2	fib_pair	lambda	19	524288	aux_commit	0.004			
2	fib_pair	lambda	19	524288	rounds_2_4	398.669			
2	fib_pair	lambda	19	524288	r1_main_lde	83.265			
2	fib_pair	lambda	19	524288	r1_main_merkle	53.799			
2	fib_pair	lambda	19	524288	r1_aux_lde	0.000			
2	fib_pair	lambda	19	524288	r1_aux_merkle	0.000			
2	fib_pair	lambda	19	524288	table_total	394.871	fib_pair	524288	
2	fib_pair	lambda	19	524288	r2_constraints	181.223	fib_pair	524288	
2	fib_pair	lambda	19	524288	r2_comp_decompose	0.000	fib_pair	524288	
2	fib_pair	lambda	19	524288	r2_comp_commit	19.456	fib_pair	524288	
2	fib_pair	lambda	19	524288	r3_ood	38.621	fib_pair	524288	
2	fib_pair	lambda	19	524288	r4_deep_comp	37.734	fib_pair	524288	
2	fib_pair	lambda	19	524288	r4_deep_extend	10.199	fib_pair	524288	
2	fib_pair	lambda	19	524288	r4_fri_commit	104.359	fib_pair	524288	
2	fib_pair	lambda	19	524288	r4_queries	1.983	fib_pair	524288	
3	fib_pair	lambda	19	524288	prove_total	565.576			
3	fib_pair	lambda	19	524288	prepass	16.284			
3	fib_pair	lambda	19	524288	main_commits	155.861			
3	fib_pair	lambda	19	524288	aux_build	0.001			
3	fib_pair	lambda	19	524288	aux_commit	0.019			
3	fib_pair	lambda	19	524288	rounds_2_4	392.775			
3	fib_pair	lambda	19	524288	r1_main_lde	85.480			
3	fib_pair	lambda	19	524288	r1_main_merkle	52.370			
3	fib_pair	lambda	19	524288	r1_aux_lde	0.000			
3	fib_pair	lambda	19	524288	r1_aux_merkle	0.000			
3	fib_pair	lambda	19	524288	table_total	388.514	fib_pair	524288	
3	fib_pair	lambda	19	524288	r2_constraints	179.512	fib_pair	524288	
3	fib_pair	lambda	19	524288	r2_comp_decompose	0.000	fib_pair	524288	
3	fib_pair	lambda	19	524288	r2_comp_commit	20.517	fib_pair	524288	
3	fib_pair	lambda	19	524288	r3_ood	38.823	fib_pair	524288	
3	fib_pair	lambda	19	524288	r4_deep_comp	40.438	fib_pair	524288	
3	fib_pair	lambda	19	524288	r4_deep_extend	10.450	fib_pair	524288	
3	fib_pair	lambda	19	524288	r4_fri_commit	95.860	fib_pair	524288	
3	fib_pair	lambda	19	524288	r4_queries	1.764	fib_pair	524288	
4	fib_pair	lambda	19	524288	prove_total	590.327			
4	fib_pair	lambda	19	524288	prepass	16.180			
