run	workload	prover	log_rows	rows	phase	ms	table	table_rows	span
1	fib_pair	lambda	21	2097152	prove_total	4797.777			
1	fib_pair	lambda	21	2097152	prepass	51.734			
1	fib_pair	lambda	21	2097152	main_commits	2249.262			
1	fib_pair	lambda	21	2097152	aux_build	0.001			
1	fib_pair	lambda	21	2097152	aux_commit	0.006			
1	fib_pair	lambda	21	2097152	rounds_2_4	2495.951			
1	fib_pair	lambda	21	2097152	r1_main_lde	1431.394			
1	fib_pair	lambda	21	2097152	r1_main_merkle	619.336			
1	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
1	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
1	fib_pair	lambda	21	2097152	table_total	2474.875	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_constraints	1629.529	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_commit	56.830	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r3_ood	207.244	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_comp	229.697	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_extend	52.913	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_fri_commit	293.284	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_queries	2.818	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	prove_total	4728.770			
2	fib_pair	lambda	21	2097152	prepass	51.996			
2	fib_pair	lambda	21	2097152	main_commits	2193.464			
2	fib_pair	lambda	21	2097152	aux_build	0.002			
2	fib_pair	lambda	21	2097152	aux_commit	0.005			
2	fib_pair	lambda	21	2097152	rounds_2_4	2482.483			
2	fib_pair	lambda	21	2097152	r1_main_lde	1405.362			
2	fib_pair	lambda	21	2097152	r1_main_merkle	593.823			
2	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
2	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
2	fib_pair	lambda	21	2097152	table_total	2461.395	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_constraints	1620.537	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_comp_commit	56.856	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r3_ood	207.931	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_deep_comp	227.467	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_deep_extend	54.042	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_fri_commit	289.057	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r4_queries	2.885	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	prove_total	4726.476			
3	fib_pair	lambda	21	2097152	prepass	52.197			
3	fib_pair	lambda	21	2097152	main_commits	2199.814			
3	fib_pair	lambda	21	2097152	aux_build	0.001			
3	fib_pair	lambda	21	2097152	aux_commit	0.006			
3	fib_pair	lambda	21	2097152	rounds_2_4	2473.612			
3	fib_pair	lambda	21	2097152	r1_main_lde	1419.310			
3	fib_pair	lambda	21	2097152	r1_main_merkle	580.883			
3	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
3	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
3	fib_pair	lambda	21	2097152	table_total	2456.386	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r2_constraints	1628.042	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r2_comp_commit	57.687	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r3_ood	208.116	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r4_deep_comp	228.815	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r4_deep_extend	54.626	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r4_fri_commit	274.039	fib_pair	2097152	
3	fib_pair	lambda	21	2097152	r4_queries	2.444	fib_pair	2097152	
4	fib_pair	lambda	21	2097152	prove_total	4721.157			
4	fib_pair	lambda	21	2097152	prepass	52.007			
4	fib_pair	lambda	21	2097152	main_commits	2191.934			
4	fib_pair	lambda	21	2097152	aux_build	0.002			
4	fib_pair	lambda	21	2097152	aux_commit	0.005			
4	fib_pair	lambda	21	2097152	rounds_2_4	2476.391			
