run	workload	prover	log_rows	rows	phase	ms	table	table_rows	span
1	fib_pair	lambda	21	2097152	prove_total	2756.304			
1	fib_pair	lambda	21	2097152	prepass	51.991			
1	fib_pair	lambda	21	2097152	main_commits	1050.301			
1	fib_pair	lambda	21	2097152	aux_build	0.003			
1	fib_pair	lambda	21	2097152	aux_commit	0.006			
1	fib_pair	lambda	21	2097152	rounds_2_4	1653.095			
1	fib_pair	lambda	21	2097152	r1_main_lde	688.184			
1	fib_pair	lambda	21	2097152	r1_main_merkle	265.514			
1	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
1	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
1	fib_pair	lambda	21	2097152	table_total	1644.944	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_constraints	848.893	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_decompose	0.000	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r2_comp_commit	57.388	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r3_ood	190.885	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_comp	180.049	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_deep_extend	53.169	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_fri_commit	309.286	fib_pair	2097152	
1	fib_pair	lambda	21	2097152	r4_queries	2.695	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	prove_total	2743.011			
2	fib_pair	lambda	21	2097152	prepass	51.828			
2	fib_pair	lambda	21	2097152	main_commits	1027.890			
2	fib_pair	lambda	21	2097152	aux_build	0.001			
2	fib_pair	lambda	21	2097152	aux_commit	0.005			
2	fib_pair	lambda	21	2097152	rounds_2_4	1662.435			
2	fib_pair	lambda	21	2097152	r1_main_lde	668.379			
2	fib_pair	lambda	21	2097152	r1_main_merkle	265.228			
2	fib_pair	lambda	21	2097152	r1_aux_lde	0.000			
2	fib_pair	lambda	21	2097152	r1_aux_merkle	0.000			
2	fib_pair	lambda	21	2097152	table_total	1654.261	fib_pair	2097152	
2	fib_pair	lambda	21	2097152	r2_constraints	853.790	fib_pair	2097152	
